codigo_ibge,Nome_Município,Territórios de Desenvolvimento,Aglomerado,Gerência Regional de Ensino GRE,População em 2022 IBGE,Faixa populacional
2203859,Floresta do Piauí,Vale do Canindé,17,8ª,2333,Menos de 5.000 habitantes
2203909,Floriano,Vale dos Rios Piauí e Itaueiras,21,10ª,62036,Acima de 50.000 habitantes
2204006,Francinópolis,Vale do Sambito,11,7ª,4505,Menos de 5.000 habitantes
2204105,Francisco Ayres,Vale dos Rios Piauí e Itaueiras,21,6ª,4412,Menos de 5.000 habitantes
2204154,Francisco Macedo,Chapada Vale do Rio Itaim,13,16ª,2929,Menos de 5.000 habitantes
2204204,Francisco Santos,Vale do Rio Guaribas,15,9ª,8237,5.001 a 10.000 de habitantes
2204303,Fronteiras,Vale do Rio Guaribas,15,16ª,10259,10.001 a 20.000 de habitantes
2204352,Geminiano,Vale do Rio Guaribas,12,9ª,5445,5.001 a 10.000 de habitantes
2204402,Gilbués,Chapada das Mangabeiras,28,15ª,10892,10.001 a 20.000 de habitantes
2204501,Guadalupe,Tabuleiros do Alto Parnaíba,24,10ª,10270,10.001 a 20.000 de habitantes
2204550,Guaribas,Serra da Capivara,19,13ª,4276,Menos de 5.000 habitantes
2204600,Hugo Napoleão,Entre Rios,9,6ª,3518,Menos de 5.000 habitantes
2204659,Ilha Grande,Planície Litorânea,1,1ª,9274,5.001 a 10.000 de habitantes
2204709,Inhuma,Vale do Sambito,11,7ª,14958,10.001 a 20.000 de habitantes
2204808,Ipiranga do Piauí,Vale do Sambito,11,9ª,9420,5.001 a 10.000 de habitantes
2204907,Isaías Coelho,Vale do Canindé,17,8ª,7774,5.001 a 10.000 de habitantes
2205003,Itainópolis,Vale do Rio Guaribas,12,9ª,10790,10.001 a 20.000 de habitantes
2205102,Itaueira,Vale dos Rios Piauí e Itaueiras,23,10ª,10323,10.001 a 20.000 de habitantes
2205151,Jacobina do Piauí,Chapada Vale do Rio Itaim,14,17ª,5624,5.001 a 10.000 de habitantes
2205201,Jaicós,Chapada Vale do Rio Itaim,13,9ª,4180,Menos de 5.000 habitantes
2205250,Jardim do Mulato,Entre Rios,9,6ª,4494,Menos de 5.000 habitantes
2205276,Jatobá do Piauí,Carnaubais,5,5ª,4497,Menos de 5.000 habitantes
2205300,Jerumenha,Tabuleiros do Alto Parnaíba,24,10ª,17527,10.001 a 20.000 de habitantes
2205359,João Costa,Serra da Capivara,18,12ª,2970,Menos de 5.000 habitantes
2205409,Joaquim Pires,Cocais,3,2ª,13886,10.001 a 20.000 de habitantes
2205458,Joca Marques,Cocais,3,2ª,5394,5.001 a 10.000 de habitantes
2205508,José de Freitas,Entre Rios,7,18ª,42559,20.001 a 50.000 de habitantes
